time_s,x_m,y_m,theta_rad,target_x_m,target_y_m,distance_to_target_m,accumulated_distance_m,is_colliding
0.00,-1.2500,-1.2500,0.0000,-0.7500,-1.2500,0.5000,0.0000,0
0.03,-1.2487,-1.2500,0.0000,-0.7500,-1.2500,0.4987,0.0013,0
0.06,-1.2474,-1.2500,0.0000,-0.7500,-1.2500,0.4974,0.0026,0
0.10,-1.2461,-1.2500,0.0000,-0.7500,-1.2500,0.4961,0.0039,0
0.13,-1.2449,-1.2500,0.0000,-0.7500,-1.2500,0.4949,0.0051,0
0.16,-1.2436,-1.2500,0.0000,-0.7500,-1.2500,0.4936,0.0064,0
0.19,-1.2423,-1.2500,0.0000,-0.7500,-1.2500,0.4923,0.0077,0
0.22,-1.2410,-1.2500,0.0000,-0.7500,-1.2500,0.4910,0.0090,0
0.26,-1.2397,-1.2500,0.0000,-0.7500,-1.2500,0.4897,0.0103,0
0.29,-1.2385,-1.2500,0.0000,-0.7500,-1.2500,0.4885,0.0115,0
0.32,-1.2373,-1.2500,0.0000,-0.7500,-1.2500,0.4873,0.0127,0
0.35,-1.2360,-1.2500,0.0000,-0.7500,-1.2500,0.4860,0.0140,0
0.38,-1.2347,-1.2500,0.0000,-0.7500,-1.2500,0.4847,0.0153,0
0.42,-1.2334,-1.2500,0.0000,-0.7500,-1.2500,0.4834,0.0166,0
0.45,-1.2321,-1.2500,0.0000,-0.7500,-1.2500,0.4821,0.0179,0
0.48,-1.2308,-1.2500,0.0000,-0.7500,-1.2500,0.4808,0.0192,0
0.51,-1.2295,-1.2500,0.0000,-0.7500,-1.2500,0.4795,0.0205,0
0.54,-1.2282,-1.2500,0.0000,-0.7500,-1.2500,0.4782,0.0218,0
0.58,-1.2270,-1.2500,0.0000,-0.7500,-1.2500,0.4770,0.0230,0
0.61,-1.2257,-1.2500,0.0000,-0.7500,-1.2500,0.4757,0.0243,0
0.64,-1.2244,-1.2500,0.0000,-0.7500,-1.2500,0.4744,0.0256,0
0.67,-1.2231,-1.2500,0.0000,-0.7500,-1.2500,0.4731,0.0269,0
0.70,-1.2218,-1.2500,0.0000,-0.7500,-1.2500,0.4718,0.0282,0
0.74,-1.2205,-1.2500,0.0000,-0.7500,-1.2500,0.4705,0.0295,0
0.77,-1.2192,-1.2500,0.0000,-0.7500,-1.2500,0.4692,0.0308,0
0.80,-1.2181,-1.2500,0.0000,-0.7500,-1.2500,0.4681,0.0319,0
0.83,-1.2168,-1.2500,0.0000,-0.7500,-1.2500,0.4668,0.0332,0
0.86,-1.2155,-1.2500,0.0000,-0.7500,-1.2500,0.4655,0.0345,0
0.90,-1.2142,-1.2500,0.0000,-0.7500,-1.2500,0.4642,0.0358,0
0.93,-1.2129,-1.2500,0.0000,-0.7500,-1.2500,0.4629,0.0371,0
0.96,-1.2116,-1.2500,0.0000,-0.7500,-1.2500,0.4616,0.0384,0
0.99,-1.2103,-1.2500,0.0000,-0.7500,-1.2500,0.4603,0.0397,0
1.02,-1.2091,-1.2500,0.0000,-0.7500,-1.2500,0.4591,0.0409,0
1.06,-1.2078,-1.2500,0.0000,-0.7500,-1.2500,0.4578,0.0422,0
1.09,-1.2065,-1.2500,0.0000,-0.7500,-1.2500,0.4565,0.0435,0
1.12,-1.2052,-1.2500,0.0000,-0.7500,-1.2500,0.4552,0.0448,0
1.15,-1.2039,-1.2500,0.0000,-0.7500,-1.2500,0.4539,0.0461,0
1.18,-1.2026,-1.2500,0.0000,-0.7500,-1.2500,0.4526,0.0474,0
1.22,-1.2013,-1.2500,0.0000,-0.7500,-1.2500,0.4513,0.0487,0
1.25,-1.2000,-1.2500,0.0000,-0.7500,-1.2500,0.4500,0.0500,0
1.28,-1.1988,-1.2500,0.0000,-0.7500,-1.2500,0.4488,0.0512,0
1.31,-1.1975,-1.2500,0.0000,-0.7500,-1.2500,0.4475,0.0525,0
1.34,-1.1963,-1.2500,0.0000,-0.7500,-1.2500,0.4463,0.0537,0
1.38,-1.1950,-1.2500,0.0000,-0.7500,-1.2500,0.4450,0.0550,0
1.41,-1.1937,-1.2500,0.0000,-0.7500,-1.2500,0.4437,0.0563,0
1.44,-1.1925,-1.2500,0.0000,-0.7500,-1.2500,0.4425,0.0575,0
1.47,-1.1912,-1.2500,0.0000,-0.7500,-1.2500,0.4412,0.0588,0
1.50,-1.1899,-1.2500,0.0000,-0.7500,-1.2500,0.4399,0.0601,0
1.54,-1.1886,-1.2500,0.0000,-0.7500,-1.2500,0.4386,0.0614,0
1.57,-1.1873,-1.2500,0.0000,-0.7500,-1.2500,0.4373,0.0627,0
1.60,-1.1860,-1.2500,0.0000,-0.7500,-1.2500,0.4360,0.0640,0
1.63,-1.1847,-1.2500,0.0000,-0.7500,-1.2500,0.4347,0.0653,0
1.66,-1.1834,-1.2500,0.0000,-0.7500,-1.2500,0.4334,0.0666,0
1.70,-1.1822,-1.2500,0.0000,-0.7500,-1.2500,0.4322,0.0678,0
1.73,-1.1809,-1.2500,0.0000,-0.7500,-1.2500,0.4309,0.0691,0
1.76,-1.1796,-1.2500,0.0000,-0.7500,-1.2500,0.4296,0.0704,0
1.79,-1.1783,-1.2500,0.0000,-0.7500,-1.2500,0.4283,0.0717,0
1.82,-1.1770,-1.2500,0.0000,-0.7500,-1.2500,0.4270,0.0730,0
1.86,-1.1758,-1.2500,0.0000,-0.7500,-1.2500,0.4258,0.0742,0
1.89,-1.1746,-1.2500,0.0000,-0.7500,-1.2500,0.4246,0.0754,0
1.92,-1.1733,-1.2500,0.0000,-0.7500,-1.2500,0.4233,0.0767,0
1.95,-1.1720,-1.2500,0.0000,-0.7500,-1.2500,0.4220,0.0780,0
1.98,-1.1707,-1.2500,0.0000,-0.7500,-1.2500,0.4207,0.0793,0
2.02,-1.1694,-1.2500,0.0000,-0.7500,-1.2500,0.4194,0.0806,0
2.05,-1.1681,-1.2500,0.0000,-0.7500,-1.2500,0.4181,0.0819,0
2.08,-1.1668,-1.2500,0.0000,-0.7500,-1.2500,0.4168,0.0832,0
2.11,-1.1655,-1.2500,0.0000,-0.7500,-1.2500,0.4155,0.0845,0
2.14,-1.1643,-1.2500,0.0000,-0.7500,-1.2500,0.4143,0.0857,0
2.18,-1.1630,-1.2500,0.0000,-0.7500,-1.2500,0.4130,0.0870,0
2.21,-1.1617,-1.2500,0.0000,-0.7500,-1.2500,0.4117,0.0883,0
2.24,-1.1604,-1.2500,0.0000,-0.7500,-1.2500,0.4104,0.0896,0
2.27,-1.1591,-1.2500,0.0000,-0.7500,-1.2500,0.4091,0.0909,0
2.30,-1.1578,-1.2500,0.0000,-0.7500,-1.2500,0.4078,0.0922,0
2.34,-1.1565,-1.2500,0.0000,-0.7500,-1.2500,0.4065,0.0935,0
2.37,-1.1552,-1.2500,0.0000,-0.7500,-1.2500,0.4052,0.0948,0
2.40,-1.1541,-1.2500,0.0000,-0.7500,-1.2500,0.4041,0.0959,0
2.43,-1.1528,-1.2500,0.0000,-0.7500,-1.2500,0.4028,0.0972,0
2.46,-1.1515,-1.2500,0.0000,-0.7500,-1.2500,0.4015,0.0985,0
2.50,-1.1502,-1.2500,0.0000,-0.7500,-1.2500,0.4002,0.0998,0
