real_x,real_y,odom_x,odom_y,kalman_x,kalman_y
-1.2528,-1.2495,-1.2530,-1.2493,-1.2535,-1.2490
-1.2264,-1.2506,-1.2276,-1.2494,-1.2281,-1.2490
-1.2013,-1.2508,-1.2021,-1.2495,-1.2026,-1.2491
-1.1764,-1.2509,-1.1765,-1.2496,-1.1770,-1.2492
-1.1518,-1.2510,-1.1513,-1.2496,-1.1513,-1.2507
-1.1268,-1.2510,-1.1259,-1.2495,-1.1259,-1.2506
-1.1019,-1.2509,-1.1004,-1.2494,-1.1004,-1.2505
-1.0770,-1.2508,-1.0749,-1.2493,-1.0765,-1.2507
-1.0524,-1.2507,-1.0496,-1.2490,-1.0512,-1.2506
-1.0276,-1.2505,-1.0243,-1.2489,-1.0259,-1.2504
-1.0026,-1.2505,-0.9988,-1.2488,-1.0004,-1.2504
-0.9777,-1.2504,-0.9733,-1.2487,-0.9769,-1.2504
-0.9528,-1.2504,-0.9477,-1.2486,-0.9513,-1.2503
-0.9278,-1.2503,-0.9222,-1.2485,-0.9258,-1.2503
-0.9029,-1.2503,-0.8965,-1.2485,-0.9023,-1.2503
-0.8779,-1.2503,-0.8711,-1.2484,-0.8769,-1.2503
-0.8531,-1.2502,-0.8456,-1.2483,-0.8514,-1.2502
-0.8282,-1.2502,-0.8201,-1.2482,-0.8260,-1.2502
-0.8033,-1.2501,-0.7946,-1.2481,-0.8025,-1.2501
-0.7784,-1.2501,-0.7692,-1.2480,-0.7770,-1.2501
-0.7534,-1.2500,-0.7437,-1.2479,-0.7515,-1.2501
-0.7286,-1.2500,-0.7181,-1.2478,-0.7260,-1.2501
-0.7037,-1.2499,-0.6927,-1.2477,-0.7027,-1.2499
-0.6788,-1.2499,-0.6672,-1.2477,-0.6772,-1.2499
-0.6538,-1.2499,-0.6416,-1.2477,-0.6517,-1.2499
-0.6289,-1.2500,-0.6161,-1.2477,-0.6282,-1.2500
-0.6040,-1.2500,-0.5906,-1.2477,-0.6027,-1.2500
-0.5790,-1.2500,-0.5651,-1.2476,-0.5772,-1.2500
-0.5541,-1.2500,-0.5396,-1.2476,-0.5517,-1.2500
-0.5292,-1.2500,-0.5140,-1.2476,-0.5283,-1.2500
-0.5042,-1.2500,-0.4885,-1.2476,-0.5028,-1.2500
-0.4793,-1.2500,-0.4629,-1.2476,-0.4772,-1.2500
-0.4543,-1.2500,-0.4374,-1.2476,-0.4537,-1.2500
-0.4293,-1.2501,-0.4119,-1.2475,-0.4283,-1.2500
-0.4045,-1.2501,-0.3864,-1.2475,-0.4028,-1.2500
-0.3795,-1.2501,-0.3609,-1.2475,-0.3772,-1.2500
-0.3547,-1.2500,-0.3354,-1.2474,-0.3538,-1.2501
-0.3298,-1.2500,-0.3099,-1.2474,-0.3283,-1.2501
-0.3072,-1.2508,-0.2869,-1.2473,-0.3054,-1.2500
-0.3041,-1.2570,-0.2869,-1.2473,-0.3054,-1.2501
-0.2984,-1.2528,-0.2850,-1.2409,-0.3014,-1.2502
-0.2912,-1.2346,-0.2820,-1.2210,-0.2959,-1.2309
-0.2846,-1.2122,-0.2798,-1.1971,-0.2906,-1.2075
-0.2784,-1.1898,-0.2782,-1.1737,-0.2796,-1.1890
-0.2737,-1.1683,-0.2781,-1.1508,-0.2753,-1.1665
-0.2694,-1.1444,-0.2787,-1.1260,-0.2713,-1.1420
-0.2654,-1.1200,-0.2795,-1.1006,-0.2674,-1.1170
-0.2616,-1.0964,-0.2806,-1.0762,-0.2620,-1.0954
-0.2582,-1.0722,-0.2822,-1.0512,-0.2587,-1.0706
-0.2550,-1.0496,-0.2840,-1.0281,-0.2560,-1.0475
-0.2531,-1.0271,-0.2873,-1.0052,-0.2534,-1.0267
-0.2521,-1.0035,-0.2917,-0.9812,-0.2527,-1.0024
-0.2516,-0.9788,-0.2965,-0.9565,-0.2523,-0.9772
-0.2512,-0.9539,-0.3014,-0.9315,-0.2520,-0.9517
-0.2507,-0.9292,-0.3064,-0.9067,-0.2509,-0.9285
-0.2505,-0.9044,-0.3116,-0.8819,-0.2507,-0.9031
-0.2503,-0.8795,-0.3169,-0.8570,-0.2506,-0.8776
-0.2501,-0.8547,-0.3221,-0.8320,-0.2504,-0.8522
-0.2500,-0.8297,-0.3274,-0.8071,-0.2501,-0.8288
-0.2499,-0.8049,-0.3328,-0.7822,-0.2501,-0.8033
-0.2498,-0.7799,-0.3382,-0.7573,-0.2500,-0.7778
-0.2497,-0.7550,-0.3435,-0.7324,-0.2498,-0.7544
-0.2497,-0.7303,-0.3490,-0.7076,-0.2497,-0.7290
-0.2498,-0.7052,-0.3545,-0.6826,-0.2498,-0.7034
-0.2498,-0.6805,-0.3600,-0.6577,-0.2498,-0.6779
-0.2499,-0.6555,-0.3655,-0.6328,-0.2499,-0.6547
-0.2499,-0.6307,-0.3709,-0.6079,-0.2499,-0.6292
-0.2499,-0.6057,-0.3764,-0.5830,-0.2499,-0.6037
-0.2499,-0.5808,-0.3818,-0.5581,-0.2499,-0.5802
-0.2499,-0.5560,-0.3873,-0.5332,-0.2500,-0.5547
-0.2500,-0.5309,-0.3927,-0.5083,-0.2500,-0.5292
-0.2500,-0.5060,-0.3982,-0.4833,-0.2500,-0.5036
